Feature,Extraversion,Neuroticism,Agreeableness,Conscientiousness,Openness
num_of_char,0.5214723926380368,0.5104294478527608,0.5214723926380368,0.49570552147239266,0.505521472392638
num_any_words,0.5153374233128835,0.5288343558282208,0.5030674846625767,0.5165644171779141,0.4920245398773006
num_long_words,0.505521472392638,0.49693251533742333,0.5030674846625767,0.5030674846625767,0.5030674846625767
num_short_words,0.5165644171779141,0.5128834355828221,0.5251533742331288,0.48588957055214727,0.49938650306748467
num_sentences,0.5288343558282208,0.5312883435582823,0.505521472392638,0.5006134969325153,0.50920245398773
num_diff_word_stop,0.49079754601226994,0.49938650306748467,0.48588957055214727,0.4466257668711656,0.50920245398773
num_diff_word_nstop,0.45153374233128835,0.48711656441717793,0.5190184049079755,0.5116564417177915,0.5177914110429448
avg_sentence_length,0.4920245398773006,0.5226993865030675,0.5251533742331288,0.5042944785276073,0.505521472392638
avg_word_length,0.5251533742331288,0.4920245398773006,0.5374233128834356,0.4723926380368098,0.5006134969325153
num_syllables,0.49938650306748467,0.5116564417177915,0.48957055214723927,0.4699386503067485,0.5288343558282208
most_freq_sentence_length,0.4920245398773006,0.501840490797546,0.5116564417177915,0.49693251533742333,0.5312883435582823
flesch_reading_ease,0.49325153374233127,0.49938650306748467,0.5141104294478528,0.5239263803680981,0.5165644171779141
flesch_kincaid_grade_level,0.49325153374233127,0.49938650306748467,0.5141104294478528,0.5239263803680981,0.5165644171779141
automated_readability_index,0.5325153374233129,0.498159509202454,0.5386503067484663,0.46134969325153374,0.50920245398773
LIX_readability,0.5239263803680981,0.5300613496932516,0.5067484662576687,0.4883435582822086,0.5398773006134969
dale_chall_readability,0.5325153374233129,0.49693251533742333,0.5447852760736196,0.4723926380368098,0.505521472392638
SMOG_readability,0.5325153374233129,0.5128834355828221,0.5423312883435583,0.4920245398773006,0.4920245398773006
type_token_ratio,0.5276073619631901,0.47975460122699387,0.5276073619631901,0.47484662576687114,0.505521472392638
hapax_legomena,0.49447852760736194,0.47730061349693254,0.505521472392638,0.5079754601226993,0.5079754601226993
num_diff_pos,0.5030674846625767,0.48957055214723927,0.5300613496932516,0.4883435582822086,0.5104294478527608
num_pos_num,0.5300613496932516,0.49447852760736194,0.5411042944785276,0.4736196319018405,0.5079754601226993
num_pos_sub_conj,0.5312883435582823,0.4920245398773006,0.5411042944785276,0.4687116564417178,0.5079754601226993
num_pos_adj,0.49447852760736194,0.4920245398773006,0.505521472392638,0.4441717791411043,0.5325153374233129
num_pos_aux,0.5288343558282208,0.49938650306748467,0.5104294478527608,0.4920245398773006,0.5067484662576687
num_pos_noun,0.501840490797546,0.49693251533742333,0.4687116564417178,0.4920245398773006,0.5141104294478528
num_pos_adv,0.5239263803680981,0.4785276073619632,0.48588957055214727,0.5177914110429448,0.49079754601226994
num_pos_verb,0.49325153374233127,0.5116564417177915,0.49447852760736194,0.5288343558282208,0.505521472392638
